item,brand,category,gender,time_of_delivery_days,price,size,color,style,warmth,waterproof,current_day,url,image
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,M,Blue,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_blue.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,L,Blue,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_blue.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,XL,Blue,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_blue.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,S,Grey,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_grey.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,M,Grey,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_grey.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,L,Grey,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_grey.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,XL,Grey,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_grey.jpg
Men's Burton [ak]® Swash GORE-TEX 2L Jacket,Burton,jacket,Men,6,519.95,S,Black,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-swash-gore-tex-2l-jacket/W26-100011.html?dwvar_W26-100011_variationColor=A04,product_images/burton_jacket_men_s_burton_ak_swash_gore_tex_2l_jacket_black.jpg
Men's Burton [ak]® Swash GORE-TEX 2L Jacket,Burton,jacket,Men,6,519.95,M,Black,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-swash-gore-tex-2l-jacket/W26-100011.html?dwvar_W26-100011_variationColor=A04,product_images/burton_jacket_men_s_burton_ak_swash_gore_tex_2l_jacket_black.jpg
Men's Burton [ak]® Swash GORE-TEX 2L Jacket,Burton,jacket,Men,6,519.95,L,Black,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-swash-gore-tex-2l-jacket/W26-100011.html?dwvar_W26-100011_variationColor=A04,product_images/burton_jacket_men_s_burton_ak_swash_gore_tex_2l_jacket_black.jpg
Men's Burton [ak]® Swash GORE-TEX 2L Jacket,Burton,jacket,Men,6,519.95,XL,Black,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-swash-gore-tex-2l-jacket/W26-100011.html?dwvar_W26-100011_variationColor=A04,product_images/burton_jacket_men_s_burton_ak_swash_gore_tex_2l_jacket_black.jpg
Men's Burton [ak]® Swash GORE-TEX 2L Jacket,Burton,jacket,Men,6,519.95,XXL,Black,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-swash-gore-tex-2l-jacket/W26-100011.html?dwvar_W26-100011_variationColor=A04,product_images/burton_jacket_men_s_burton_ak_swash_gore_tex_2l_jacket_black.jpg
Men's Burton [ak]® LZ GORE-TEX 2L Down Jacket,Burton,jacket,Men,6,724.95,S,White,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-lz-gore-tex-2l-down-jacket/W26-100061.html?dwvar_W26-100061_variationColor=A04,product_images/burton_jacket_men_s_burton_ak_lz_gore_tex_2l_down_jacket_white.jpg
Men's Burton [ak]® LZ GORE-TEX 2L Down Jacket,Burton,jacket,Men,6,724.95,M,White,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-lz-gore-tex-2l-down-jacket/W26-100061.html?dwvar_W26-100061_variationColor=A04,product_images/burton_jacket_men_s_burton_ak_lz_gore_tex_2l_down_jacket_white.jpg
Men's Burton [ak]® LZ GORE-TEX 2L Down Jacket,Burton,jacket,Men,6,724.95,L,White,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-lz-gore-tex-2l-down-jacket/W26-100061.html?dwvar_W26-100061_variationColor=A04,product_images/burton_jacket_men_s_burton_ak_lz_gore_tex_2l_down_jacket_white.jpg
Men's Burton [ak]® LZ GORE-TEX 2L Down Jacket,Burton,jacket,Men,6,724.95,XL,White,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-lz-gore-tex-2l-down-jacket/W26-100061.html?dwvar_W26-100061_variationColor=A04,product_images/burton_jacket_men_s_burton_ak_lz_gore_tex_2l_down_jacket_white.jpg
